NOMBRE|DELIVERY_TYPE|PRICE_TYPE|PRODUCTO DE ENVÍO|MATRICULA|PRECIOS
ZONA 6-SANTA FE DE ANTIOQUIA-SOPETRAN-SAN JERONIMO|fixed|multiple_prices|ACAR-001|HD72/HYUNDAI/MNE620|280000
ZONA 6-SANTA FE DE ANTIOQUIA-SOPETRAN-SAN JERONIMO|fixed|multiple_prices|ACAR-001|NPR/CHEVROLET/TMX272|280000
ZONA 6-SANTA FE DE ANTIOQUIA-SOPETRAN-SAN JERONIMO|fixed|multiple_prices|ACAR-001|FSR/CHEVROLET/TGA353|350000
ZONA R1-RIONEGRO CENTRO-SAN ANTONIO DE PEREIRA|fixed|multiple_prices|ACAR-001|RE 205D/BAJAJ/540ACV|17000
ZONA R1-RIONEGRO CENTRO-SAN ANTONIO DE PEREIRA|fixed|multiple_prices|ACAR-001|RE 205D/BAJAJ/541ACV|17000
ZONA R1-RIONEGRO CENTRO-SAN ANTONIO DE PEREIRA|fixed|multiple_prices|ACAR-001|RE 4S(RE 205)/BAJAJ/985ACV|17000
ZONA R1-RIONEGRO CENTRO-SAN ANTONIO DE PEREIRA|fixed|multiple_prices|ACAR-001|RE 4S(RE 205)/BAJAJ/984ACV|17000
ZONA R1-RIONEGRO CENTRO-SAN ANTONIO DE PEREIRA|fixed|multiple_prices|ACAR-001|RE 4S(RE 205)/BAJAJ/206ADF|17000
ZONA R1-RIONEGRO CENTRO-SAN ANTONIO DE PEREIRA|fixed|multiple_prices|ACAR-001|TFR/CHEVROLET LUV/MNA126|33000
ZONA R1-RIONEGRO CENTRO-SAN ANTONIO DE PEREIRA|fixed|multiple_prices|ACAR-001|RN85/TOYOTA/TRB322|33000
ZONA R1-RIONEGRO CENTRO-SAN ANTONIO DE PEREIRA|fixed|multiple_prices|ACAR-001|HILUX/TOYOTA/MNP810|33000
ZONA R1-RIONEGRO CENTRO-SAN ANTONIO DE PEREIRA|fixed|multiple_prices|ACAR-001|DC4/CHEVROLET LUV/SNL271|33000
ZONA R1-RIONEGRO CENTRO-SAN ANTONIO DE PEREIRA|fixed|multiple_prices|ACAR-001|DC4/CHEVROLET LUV/SNL286|33000
ZONA R1-RIONEGRO CENTRO-SAN ANTONIO DE PEREIRA|fixed|multiple_prices|ACAR-001|NISSAN/NISSAN/KAZ161|33000
ZONA R1-RIONEGRO CENTRO-SAN ANTONIO DE PEREIRA|fixed|multiple_prices|ACAR-001|K3000S-KIA/TMI448|44000
ZONA R1-RIONEGRO CENTRO-SAN ANTONIO DE PEREIRA|fixed|multiple_prices|ACAR-001|K3000S-KIA/TMI436|44000
ZONA R1-RIONEGRO CENTRO-SAN ANTONIO DE PEREIRA|fixed|multiple_prices|ACAR-001|DELTA V126L-HUT/DAIHATSU/TRF639|62000
ZONA R1-RIONEGRO CENTRO-SAN ANTONIO DE PEREIRA|fixed|multiple_prices|ACAR-001|HD72/HYUNDAI/MNE317|80000
ZONA R1-RIONEGRO CENTRO-SAN ANTONIO DE PEREIRA|fixed|multiple_prices|ACAR-001|HD72/HYUNDAI/MNE620|80000
ZONA R1-RIONEGRO CENTRO-SAN ANTONIO DE PEREIRA|fixed|multiple_prices|ACAR-001|NPR/CHEVROLET/TMX272|80000
ZONA R1-RIONEGRO CENTRO-SAN ANTONIO DE PEREIRA|fixed|multiple_prices|ACAR-001|FSR/CHEVROLET/TGA353|140000
ZONA R2-CARMEN DE VIBORAL PARQUE-AEROPUERTO JOSE MARÍA CORDOVA-SAJONIA|fixed|multiple_prices|ACAR-001|RE 205D/BAJAJ/540ACV|22000
ZONA R2-CARMEN DE VIBORAL PARQUE-AEROPUERTO JOSE MARÍA CORDOVA-SAJONIA|fixed|multiple_prices|ACAR-001|RE 205D/BAJAJ/541ACV|22000
ZONA R2-CARMEN DE VIBORAL PARQUE-AEROPUERTO JOSE MARÍA CORDOVA-SAJONIA|fixed|multiple_prices|ACAR-001|RE 4S(RE 205)/BAJAJ/985ACV|22000
ZONA R2-CARMEN DE VIBORAL PARQUE-AEROPUERTO JOSE MARÍA CORDOVA-SAJONIA|fixed|multiple_prices|ACAR-001|RE 4S(RE 205)/BAJAJ/984ACV|22000
ZONA R2-CARMEN DE VIBORAL PARQUE-AEROPUERTO JOSE MARÍA CORDOVA-SAJONIA|fixed|multiple_prices|ACAR-001|RE 4S(RE 205)/BAJAJ/206ADF|22000
ZONA R2-CARMEN DE VIBORAL PARQUE-AEROPUERTO JOSE MARÍA CORDOVA-SAJONIA|fixed|multiple_prices|ACAR-001|TFR/CHEVROLET LUV/MNA126|44000
ZONA R2-CARMEN DE VIBORAL PARQUE-AEROPUERTO JOSE MARÍA CORDOVA-SAJONIA|fixed|multiple_prices|ACAR-001|RN85/TOYOTA/TRB322|44000
ZONA R2-CARMEN DE VIBORAL PARQUE-AEROPUERTO JOSE MARÍA CORDOVA-SAJONIA|fixed|multiple_prices|ACAR-001|HILUX/TOYOTA/MNP810|44000
ZONA R2-CARMEN DE VIBORAL PARQUE-AEROPUERTO JOSE MARÍA CORDOVA-SAJONIA|fixed|multiple_prices|ACAR-001|DC4/CHEVROLET LUV/SNL271|44000
ZONA R2-CARMEN DE VIBORAL PARQUE-AEROPUERTO JOSE MARÍA CORDOVA-SAJONIA|fixed|multiple_prices|ACAR-001|DC4/CHEVROLET LUV/SNL286|44000
ZONA R2-CARMEN DE VIBORAL PARQUE-AEROPUERTO JOSE MARÍA CORDOVA-SAJONIA|fixed|multiple_prices|ACAR-001|NISSAN/NISSAN/KAZ161|44000
ZONA R2-CARMEN DE VIBORAL PARQUE-AEROPUERTO JOSE MARÍA CORDOVA-SAJONIA|fixed|multiple_prices|ACAR-001|K3000S-KIA/TMI448|55000
ZONA R2-CARMEN DE VIBORAL PARQUE-AEROPUERTO JOSE MARÍA CORDOVA-SAJONIA|fixed|multiple_prices|ACAR-001|K3000S-KIA/TMI436|55000
ZONA R2-CARMEN DE VIBORAL PARQUE-AEROPUERTO JOSE MARÍA CORDOVA-SAJONIA|fixed|multiple_prices|ACAR-001|DELTA V126L-HUT/DAIHATSU/TRF639|72000
